,sentence,subject
6015,"Social anthropology has many practical applications, including in development, healthcare, and education.",Anthropology
1147,"Smart growth policies aim to create more livable and sustainable communities by reducing sprawl and promoting compact, mixed-use development.",Geography
5149,Farm management involves overseeing the day-to-day operations of a farm.,Agriculture
8762,"Machine learning has many applications in areas such as computer vision, natural language processing, and robotics.",Computer Science
5886,One of the key goals of applied anthropology is to empower marginalized communities and promote social justice.,Anthropology
1086,"Urban morphology is a key component of urban geography, which examines the relationships between people, place, and environment.",Geography
6069,"Ice giants have strong winds, with gusts reaching up to 2,100 km/h.",Astronomy
12349,"Caffeine Use Disorder is more common among certain populations, such as college students and individuals with a history of substance use.",Psychology
13758,Increasing the power of a test can be achieved by using a more efficient experimental design or collecting more data.,Statistics
13569,"Data transformation is another important step, as it involves converting data into a suitable format for analysis.",Statistics
6339,The study of binary and multiple star systems is important for understanding star formation and evolution.,Astronomy
10029,Kinesthetic learners require hands-on experience and practical exercises to learn effectively.,Education
9617,A trade deficit can be financed by foreign investment.,Economics
12480,Abnormal psychology is a field that is closely related to psychiatry and psychotherapy.,Psychology
1305,The revolution was sparked by the execution of Jose Rizal.,History
10937,"The study of dynamics is essential for the development of new technologies in fields such as robotics, aerospace engineering, and biomedical engineering.",Engineering
3978,"Arthrology is an interdisciplinary field that combines knowledge from orthopedics, rheumatology, and sports medicine.",Medicine
1989,"Drug-related offences can result in fines, imprisonment, or both.",Law
4554,Consequentialists argue that the moral value of an action depends solely on its outcome or consequences.,Philosophy
4034,Research has shown that early intervention is key in treating musculoskeletal disorders.,Medicine
10464,Education is a lifelong process that goes beyond formal schooling.,Education
2467,International criminal law is a branch of public international law that deals with the prosecution of individuals for international crimes.,Law
3090,Derivatives are used in engineering to design and optimize systems.,Mathematics
2299,The principle of equality before the law is a cornerstone of modern legal systems.,Law
14399,Realist playwrights sought to create a sense of verisimilitude on stage.,Theater
3678,Pharmaceutical chemists must consider the physical and chemical properties of a drug molecule when designing new products.,Medicine
12425,"Moral reasoning is critical in making difficult decisions, such as those involving life and death.",Psychology
2718,The concept of phonological constraint is vital in linguistic theory.,Linguistics
16777,Mark Twain's most famous work is The Adventures of Tom Sawyer.,American Studies
13782,"In statistical hypothesis testing, a Type II error occurs when you fail to reject a false null hypothesis.",Statistics
12733,"Disruptive, Impulse-Control, and Conduct Disorders are often diagnosed in childhood and adolescence.",Psychology
6561,The ISS serves as a testing ground for deep space exploration technologies.,Astronomy
7809,Financial statements provide stakeholders with a snapshot of a company's financial health.,Business
1429,The war was fought between the Allied Powers and the Central Powers.,History
